original_title,name,store_url,has_cards
"Team Fortress 2","Team Fortress 2",http://store.steampowered.com/app/440,true
"Witcher 3","The Witcher 3: Wild Hunt",http://store.steampowered.com/app/292030,true
"Witcher 2","The Witcher 2: Assassins of Kings Enhanced Edition",http://store.steampowered.com/app/20920,true
"No Man's Sky","No Man's Sky",http://store.steampowered.com/app/275850,false
"The Division","Tom Clancy's The Division",http://store.steampowered.com/app/365590,true
"Far Cry 3","Far Cry® 3",http://store.steampowered.com/app/220240,false
"Far Cry 4","Far Cry 4",http://store.steampowered.com/app/298110,false
"Far Cry 5","Far Cry 5",http://store.steampowered.com/app/552520,true
"Papers, Please","Papers, Please",http://store.steampowered.com/app/239030,true
"TOP KEK","",,false
